,PDB_wild,MUTATION_PDB,MUTATED_CHAIN,T,ln(kf)_H2O,ln(ku)_H2O,K_diff,"Energy, kcal/mol","log(Energy, kcal/mol)",Folding Type,Fragment Start,Fragment End
0,1azu,WT,A,298.15,4.84,-16.96,21.8,12.91617190375465,2.558480162172174,Two,,
1,1ba5,WT,A,298.15,5.91,1.16,4.75,2.814303511139201,1.0347148104236807,Two,,
2,1bdc,WT,A,310.15,11.7,4.22,7.4799999999999995,4.6101588781126255,1.5282623202135281,Two,,
6,1c9o,WT,A,298.15,7.22,-0.45,7.67,4.544359564302668,1.5138868077562957,Two,,
7,1coa,WT,I,298.15,4.03,-9.04,13.07,7.743778292755654,2.0468897200132616,Two,,
8,1coa,WT,I,298.15,5.75,-10.33,16.08,9.527157991393336,2.254146456127951,Two,,
9,1csp,WT,A,298.15,6.32,2.3,4.0200000000000005,2.3817894978483345,0.8678520950080606,Two,,
11,1HKO,WT,A,283.15,2.97,-1.43,4.4,2.4757782976692306,0.9065548102920455,Two,,
12,1div,WT,A,298.15,6.76,-0.11,6.87,4.070371604531855,1.403734298611389,Two,1.0,56.0
13,1div,WT,A,298.15,3.27,-7.85,11.12,6.588432640814298,1.8853154811995672,Two,58.0,149.0
14,1div,WT,A,298.15,6.55,0.08,6.47,3.8333776246464484,1.34374630088994,Two,1.0,56.0
15,1dkt,WT,A,283.15,4.52,-2.73,7.25,4.079407422295891,1.4059517382344136,Two,,
17,1e0l,WT,A,283.15,10.05,5.83,4.220000000000001,2.374496458219126,0.8647853974157506,Two,,
19,1fex,WT,A,298.15,8.73,2.89,5.84,3.4601121063269336,1.2413009892172666,Two,,
20,1fkb,WT,A,298.15,0.88,-8.46,9.340000000000002,5.533809430324241,1.7108764446178824,Two,,
21,1fkb,WT,A,298.15,1.6,-8.1,9.7,5.747104012221105,1.748696077886468,Two,,
23,1g6p,WT,A,298.15,6.34,-4.02,10.36,6.138144079032026,1.8145224292084678,Two,,
25,1imq,WT,A,283.15,7.09,-4.42,11.51,6.476410955948373,1.8681664921016212,Two,,
26,1imq,WT,A,298.15,7.33,-1.87,9.2,5.450861537364347,1.6957736764321256,Two,,
27,1jmq,WT,A,298.15,8.4,6.7,1.7000000000000002,1.0072244145129774,0.0071984434393014525,Two,1.0,44.0
28,1jo8,WT,A,298.15,2.47,-2.72,5.19,3.0749968890131485,1.1233038895549283,Two,,
29,1k0s,WT,A,298.15,7.44,-12.05,19.490000000000002,11.54753166991643,2.4464717058966006,Two,,
30,1k8m,WT,A,295.15,-0.94,-8.05,7.110000000000001,4.170180925626308,1.427959422309864,Two,,
31,1l2y,WT,A,296.15,12.39,11.32,1.0700000000000003,0.6297062790799727,-0.4625017919951948,Two,,
32,1m9s,WT,A,298.15,3.98,-1.66,5.64,3.3416151163842303,1.2064542578870985,Two,391.0,466.0
33,1mjc,WT,A,298.15,5.29,1.44,3.85,2.2810670563970366,0.8246433406768237,Two,,
35,1n88,WT,A,298.15,2.02,-3.88,5.9,3.4956612033097447,1.2515225432888046,Two,,
36,1o6x,WT,A,298.15,6.63,-0.73,7.359999999999999,4.360689229891477,1.4726301251179157,Two,,
37,1o6x,WT,A,298.15,6.8,-0.42,7.22,4.2777413369315855,1.4534251452818658,Two,,
38,1opd,WT,A,293.15,2.7,-6.17,8.870000000000001,5.167208995088203,1.6423326965397282,Two,,
41,1pgb,WT,A,298.15,6.3,-1.72,8.02,4.751729296702399,1.558508614255554,Two,,
42,1pnj,WT,A,293.15,-1.04,-7.31,6.27,3.652581781195381,1.2954342548630693,Two,,
43,1prs,WT,A,293.15,-2.04,-9.25,7.21,4.200177773910478,1.4351268515150977,Two,91.0,173.0
44,1prs,WT,A,293.15,3.04,-9.37,12.41,7.229432201696121,1.978160499434756,Two,1.0,89.0
45,1qtu,WT,A,294.15,-0.36,-11.11,10.75,6.283763426298777,1.8379690726921527,Two,,
46,1rfa,WT,A,298.15,7.72,-3.0,10.719999999999999,6.351438660928891,1.8486813480197868,Two,56.0,130.0
47,1rfa,WT,A,298.15,8.36,-2.77,11.129999999999999,6.594357490311432,1.8862143576645842,Two,55.0,132.0
48,1ris,WT,A,298.15,5.83,-8.59,14.42,8.5436329748689,2.1451863242339337,Two,,
49,1rlq,WT,C,298.15,4.36,-1.27,5.630000000000001,3.3356902668870956,1.20467963452873,Two,,
50,1ryk,WT,A,298.15,9.08,4.49,4.59,2.719505919185038,1.0004502164495845,Two,,
51,1sb0,WT,A,293.15,7.78,2.65,5.130000000000001,2.9884760027962214,1.0947635594009184,Two,,
52,1sha,WT,A,298.15,8.74,-3.48,12.22,7.240166085499166,1.9796441461205803,Two,,
54,1FYN,WT,A,298.15,3.41,-0.67,4.08,2.417338594831145,0.8826671807932012,Two,,
55,1NYG,WT,A,298.15,4.88,-4.34,9.219999999999999,5.462711236358617,1.6979452299456332,Two,,
58,1shg,WT,A,298.15,2.52,-2.53,5.05,2.992048996053256,1.0959584356643994,Two,,
